epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,116.599,1.09078,0.50775,0.99234,0.97115,0.99067,0.98747,0.7881,1.28128,0.54075,1.09875,0.0670107,0.000165775,0.000165775
2,216.712,1.09539,0.51578,0.99378,0.97153,0.99301,0.98979,0.78443,1.28405,0.5082,1.10254,0.033838,0.000326458,0.000326458
3,314.28,1.09071,0.51609,0.99438,0.97212,0.9919,0.98882,0.78388,1.27597,0.53369,1.10344,0.000659394,0.000481141,0.000481141
4,411.327,1.09196,0.51338,0.99544,0.97142,0.98938,0.98774,0.77806,1.29131,0.56666,1.11467,0.000473,0.000473,0.000473
5,508.867,1.09185,0.51479,0.99352,0.97298,0.98941,0.98944,0.78246,1.28484,0.52291,1.1004,0.000464,0.000464,0.000464
6,606.656,1.09059,0.50932,0.99362,0.97396,0.99433,0.98987,0.78951,1.25623,0.5171,1.08955,0.000455,0.000455,0.000455
7,705.522,1.09065,0.51597,0.99175,0.97536,0.99215,0.9901,0.788,1.27335,0.52042,1.09429,0.000446,0.000446,0.000446
8,803.498,1.10306,0.512,0.99465,0.97139,0.99042,0.98868,0.78112,1.28041,0.5074,1.10183,0.000437,0.000437,0.000437
9,900.681,1.09727,0.51702,1.00558,0.97191,0.99028,0.98827,0.78436,1.29049,0.51352,1.10562,0.000428,0.000428,0.000428
10,998.144,1.08964,0.50703,0.99216,0.97411,0.99132,0.98831,0.77935,1.30761,0.50504,1.11914,0.000419,0.000419,0.000419
11,1096.02,1.07963,0.50886,0.9869,0.97679,0.99412,0.99095,0.78891,1.27724,0.50704,1.09959,0.00041,0.00041,0.00041
12,1193.73,1.08279,0.50635,0.98518,0.97395,0.99212,0.98904,0.7871,1.29061,0.50124,1.10251,0.000401,0.000401,0.000401
13,1290.96,1.0917,0.51156,0.99166,0.97062,0.99121,0.98939,0.78213,1.30775,0.55685,1.11202,0.000392,0.000392,0.000392
14,1388.55,1.08709,0.50978,0.99325,0.97098,0.98928,0.98702,0.77941,1.29448,0.51653,1.10271,0.000383,0.000383,0.000383
15,1485.89,1.08758,0.50447,0.99346,0.97252,0.98608,0.98794,0.78418,1.32674,0.5583,1.11579,0.000374,0.000374,0.000374
16,1583.39,1.07514,0.49973,0.98459,0.97646,0.99288,0.98981,0.77266,1.3076,0.54668,1.11406,0.000365,0.000365,0.000365
17,1680.99,1.08083,0.49849,0.99029,0.97543,0.99221,0.9881,0.7836,1.30229,0.49495,1.10642,0.000356,0.000356,0.000356
18,1778.8,1.07817,0.49682,0.98741,0.96956,0.99088,0.98918,0.79246,1.29621,0.52411,1.09945,0.000347,0.000347,0.000347
19,1877.57,1.08798,0.50281,0.98615,0.97143,0.99054,0.98968,0.77975,1.36572,0.54774,1.14066,0.000338,0.000338,0.000338
20,1974.99,1.074,0.50061,0.98793,0.97362,0.98986,0.98898,0.78423,1.31792,0.55598,1.11349,0.000329,0.000329,0.000329
21,2072.24,1.0786,0.4968,0.98766,0.97165,0.99287,0.98877,0.78623,1.29406,0.5231,1.10209,0.00032,0.00032,0.00032
22,2169.72,1.07323,0.49474,0.98539,0.97137,0.99203,0.98957,0.788,1.29727,0.49583,1.09696,0.000311,0.000311,0.000311
23,2267.93,1.07727,0.49765,0.99189,0.97095,0.99087,0.9899,0.79037,1.29887,0.5183,1.10468,0.000302,0.000302,0.000302
24,2366.06,1.07371,0.49418,0.98565,0.97245,0.99217,0.98932,0.78819,1.28842,0.49386,1.09727,0.000293,0.000293,0.000293
25,2464.65,1.07012,0.49252,0.98211,0.97725,0.99503,0.98992,0.79017,1.2812,0.49602,1.09312,0.000284,0.000284,0.000284
26,2563.38,1.07032,0.49051,0.98244,0.97273,0.9906,0.98846,0.78626,1.31055,0.52485,1.10716,0.000275,0.000275,0.000275
27,2663.24,1.07309,0.49409,0.98589,0.97363,0.99119,0.98867,0.78599,1.31614,0.51435,1.1087,0.000266,0.000266,0.000266
28,2762.13,1.0759,0.49315,0.98926,0.97417,0.99373,0.98915,0.784,1.30089,0.48563,1.10243,0.000257,0.000257,0.000257
29,2859.16,1.06591,0.48876,0.98404,0.97224,0.99229,0.98891,0.78857,1.30513,0.51673,1.10329,0.000248,0.000248,0.000248
30,2957.17,1.0634,0.49155,0.98311,0.97362,0.9926,0.98928,0.78925,1.29815,0.48439,1.10376,0.000239,0.000239,0.000239
31,3054.27,1.066,0.48715,0.97971,0.97313,0.99251,0.98911,0.78842,1.28665,0.51264,1.09603,0.00023,0.00023,0.00023
32,3151.8,1.06642,0.48804,0.98218,0.97503,0.98959,0.98931,0.78846,1.31092,0.49717,1.10377,0.000221,0.000221,0.000221
33,3250.05,1.06973,0.48814,0.98333,0.97374,0.99249,0.98945,0.7891,1.29555,0.50172,1.09415,0.000212,0.000212,0.000212
34,3348.86,1.07009,0.48955,0.98409,0.97442,0.98856,0.98906,0.78661,1.325,0.53067,1.11287,0.000203,0.000203,0.000203
35,3447.61,1.06365,0.48701,0.98342,0.97198,0.98882,0.98811,0.78891,1.338,0.53786,1.12073,0.000194,0.000194,0.000194
36,3545.38,1.05758,0.48661,0.97993,0.97414,0.98658,0.98924,0.7866,1.30335,0.51996,1.10359,0.000185,0.000185,0.000185
37,3643.55,1.06041,0.48258,0.9749,0.97395,0.99104,0.98988,0.7894,1.32869,0.52492,1.11334,0.000176,0.000176,0.000176
38,3742.31,1.06314,0.4892,0.98468,0.97334,0.99091,0.98942,0.79021,1.29992,0.49982,1.10196,0.000167,0.000167,0.000167
39,3840.81,1.05311,0.48371,0.98026,0.97357,0.9881,0.98956,0.79215,1.29627,0.50365,1.1004,0.000158,0.000158,0.000158
40,3938.66,1.05784,0.4873,0.98209,0.97316,0.99145,0.99002,0.79079,1.30326,0.51512,1.10368,0.000149,0.000149,0.000149
41,4037.01,1.05984,0.48584,0.98302,0.97012,0.98984,0.98921,0.78879,1.30184,0.50392,1.10197,0.00014,0.00014,0.00014
42,4135.05,1.06814,0.48754,0.98047,0.97204,0.99046,0.9881,0.78822,1.30011,0.4938,1.10246,0.000131,0.000131,0.000131
43,4233.9,1.05903,0.48737,0.98195,0.96971,0.99261,0.98859,0.79087,1.29996,0.50679,1.10239,0.000122,0.000122,0.000122
44,4333.36,1.05653,0.4797,0.98076,0.97217,0.99218,0.98821,0.79115,1.28807,0.48661,1.09614,0.000113,0.000113,0.000113
45,4436.5,1.05794,0.48132,0.97816,0.97352,0.99128,0.98796,0.78972,1.29086,0.49914,1.09817,0.000104,0.000104,0.000104
46,4542.53,1.13536,0.51102,1.01556,0.96955,0.99094,0.98729,0.78164,1.28208,0.50581,1.0916,9.5e-05,9.5e-05,9.5e-05
47,4644.61,1.12939,0.50511,1.01575,0.97292,0.99274,0.98891,0.78515,1.29215,0.49886,1.09687,8.6e-05,8.6e-05,8.6e-05
48,4747.57,1.12501,0.50355,1.00797,0.97058,0.99048,0.98819,0.7882,1.29313,0.50555,1.09898,7.7e-05,7.7e-05,7.7e-05
49,4850.56,1.11718,0.49991,1.00404,0.97253,0.99185,0.98841,0.78419,1.28781,0.50194,1.09713,6.8e-05,6.8e-05,6.8e-05
50,4952,1.112,0.49518,1.0052,0.97209,0.99183,0.98919,0.78632,1.29913,0.50916,1.10271,5.9e-05,5.9e-05,5.9e-05
51,5054.59,1.11972,0.49605,1.01173,0.97212,0.99207,0.98869,0.78597,1.292,0.50135,1.09684,5e-05,5e-05,5e-05
52,5156.65,1.11478,0.49433,1.00539,0.97225,0.99207,0.9886,0.78766,1.30593,0.50377,1.10236,4.1e-05,4.1e-05,4.1e-05
53,5261.54,1.11956,0.49665,1.00542,0.97201,0.99211,0.98859,0.78782,1.30285,0.49892,1.09979,3.2e-05,3.2e-05,3.2e-05
54,5366.34,1.1072,0.49405,1.00191,0.97175,0.99198,0.98871,0.78805,1.30337,0.50035,1.09956,2.3e-05,2.3e-05,2.3e-05
55,5471.79,1.11127,0.49323,1.00175,0.97247,0.99201,0.98869,0.78725,1.30383,0.49672,1.10164,1.4e-05,1.4e-05,1.4e-05
