epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,128.592,2.03549,2.92441,1.54455,0.50994,0.36767,0.37045,0.18288,1.71555,1.60855,1.4425,0.0670107,0.000165775,0.000165775
2,226.026,1.55867,1.45175,1.27084,0.87152,0.86274,0.91034,0.58101,1.51158,0.96041,1.33411,0.0338407,0.000329151,0.000329151
3,322.353,1.38714,0.98628,1.17394,0.93814,0.94815,0.94614,0.6688,1.39267,0.78102,1.23964,0.00066748,0.000489226,0.000489226
4,418.442,1.30777,0.84007,1.12233,0.93251,0.96475,0.97055,0.69605,1.38263,0.75058,1.21327,0.00048515,0.00048515,0.00048515
5,514.837,1.2662,0.77498,1.09614,0.95377,0.97302,0.97945,0.72041,1.32129,0.6752,1.18125,0.0004802,0.0004802,0.0004802
6,611.033,1.23915,0.72625,1.08472,0.93848,0.98363,0.98305,0.71125,1.3381,0.66583,1.17854,0.00047525,0.00047525,0.00047525
7,707.649,1.22914,0.70966,1.07354,0.96447,0.98559,0.98345,0.74609,1.29902,0.61588,1.13874,0.0004703,0.0004703,0.0004703
8,804.615,1.233,0.6828,1.07026,0.95576,0.98403,0.98379,0.73482,1.31815,0.65086,1.18421,0.00046535,0.00046535,0.00046535
9,901.676,1.21602,0.67599,1.07505,0.95932,0.98671,0.9842,0.74402,1.29051,0.59177,1.13573,0.0004604,0.0004604,0.0004604
10,997.732,1.20103,0.65196,1.05775,0.958,0.98504,0.98601,0.7335,1.29566,0.62429,1.1561,0.00045545,0.00045545,0.00045545
11,1094.29,1.18398,0.64184,1.0471,0.96591,0.99375,0.98857,0.7535,1.26759,0.59858,1.11996,0.0004505,0.0004505,0.0004505
12,1190.12,1.1904,0.63557,1.04364,0.96815,0.98986,0.98736,0.73343,1.3131,0.60728,1.16221,0.00044555,0.00044555,0.00044555
13,1286.76,1.18873,0.63661,1.04583,0.95279,0.98957,0.98354,0.72355,1.31277,0.61521,1.17196,0.0004406,0.0004406,0.0004406
14,1383.06,1.18206,0.62808,1.04469,0.96928,0.98992,0.98715,0.75878,1.27382,0.58934,1.1214,0.00043565,0.00043565,0.00043565
15,1479.37,1.1788,0.61745,1.04488,0.9683,0.99038,0.98788,0.75828,1.26924,0.57896,1.1088,0.0004307,0.0004307,0.0004307
16,1575.67,1.16677,0.60162,1.03179,0.97489,0.99059,0.9895,0.76806,1.26084,0.56571,1.10205,0.00042575,0.00042575,0.00042575
17,1671.77,1.16898,0.60101,1.03661,0.97062,0.99166,0.9865,0.75176,1.2865,0.57594,1.13346,0.0004208,0.0004208,0.0004208
